,,, Amount ,,,,,,Date,,,,
"AppScale, Inc.",http://www.crunchbase.com/company/appscale-inc,,,,,,,,,,,,
AppZero,http://www.crunchbase.com/company/appzero,,,,,,,,,,,,
Appavior Media Corporation,http://www.crunchbase.com/company/appavior-media-corporation,,,,,,,,,,,,
Appcore,http://www.crunchbase.com/company/appcore,,,,,,,,,,,,
Appian,http://www.crunchbase.com/company/appian,,,,,,,,,,,,
Appirio,http://www.crunchbase.com/company/appirio,,,,,,,,,,,,
Appistry,http://www.crunchbase.com/company/appistry-inc,,,,,,,,,,,,
Appity Slap,http://www.crunchbase.com/company/appity-slap,,,,,,,,,,,,
Application Experts,http://www.crunchbase.com/company/application-experts,,,,,,,,,,,,
Appnomic Systems,http://www.crunchbase.com/company/appnomic,,,,,,,,,,,,
Appogee,http://www.crunchbase.com/company/appogee,,,,,,,,,,,,
Apprenda,http://www.crunchbase.com/company/apprenda,,,,,,,,,,,,
Apptivo,http://www.crunchbase.com/company/apptivo,,,,,,,,,,,,
Apptricity,http://www.crunchbase.com/company/apptricity,,,,,,,,,,,,
Aptana,http://www.crunchbase.com/company/aptana,,,,,,,,,,,,
Arca Health Inc,http://www.crunchbase.com/company/arca-health,,,,,,,,,,,,
Arcaris,http://www.crunchbase.com/company/arcaris,,,,,,,,,,,,
Arena Solutions,http://www.crunchbase.com/company/arena-solutions,,,,,,,,,,,,
Aretta Communications,http://www.crunchbase.com/company/aretta-communications,,,,,,,,,,,,
Aria Systems,http://www.crunchbase.com/company/aria-systems,,,,,,,,,,,,
Arista Networks,http://www.crunchbase.com/company/arista-networks,,,,,,,,,,,,
Arkivum,http://www.crunchbase.com/company/arkivum,,,,,,,,,,,,
Arktisma,http://www.crunchbase.com/company/arktisma,,,,,,,,,,,,
Arkus,http://www.crunchbase.com/company/arkus,,,,,,,,,,,,
ArtaTechs Software,http://www.crunchbase.com/company/artatechs-software,,,,,,,,,,,,
Arxspan,http://www.crunchbase.com/company/arxspan,,,,,,,,,,,,
Aryaka Networks,http://www.crunchbase.com/company/aryaka-networks,,,,,,,,,,,,
Ascend ERP Cloud,http://www.crunchbase.com/company/ascend-erp-cloud,,,,,,,,,,,,
Ascendify,http://www.crunchbase.com/company/ascendify,,,,,,,,,,,,
Asperity Employee Benefits,http://www.crunchbase.com/company/asperity-employee-benefits,,,,,,,,,,,,
"AsystMe, LLC",http://www.crunchbase.com/company/asystme-llc,,,,,,,,,,,,
Atbrox,http://www.crunchbase.com/company/atbrox,,,,,,,,,,,,
Atlantic Global,http://www.crunchbase.com/company/atlantic-global,,,,,,,,,,,,
Atlantic Metro Communications,http://www.crunchbase.com/company/atlantic-metro-communications,,,,,,,,,,,,
Atlas Invoice,http://www.crunchbase.com/company/atlas-invoice,,,,,,,,,,,,
Atomblock,http://www.crunchbase.com/company/micromedia-a-d-s,,,,,,,,,,,,
Atomia,http://www.crunchbase.com/company/atomia,,,,,,,,,,,,
Atooma ,http://www.crunchbase.com/company/atooma,,,,,,,,,,,,
Attenda,http://www.crunchbase.com/company/attenda,,,,,,,,,,,,
Attribo,http://www.crunchbase.com/company/attribo,,,,,,,,,,,,
Attune University,http://www.crunchbase.com/company/attune-university,,,,,,,,,,,,
Attuneuniversity,http://www.crunchbase.com/company/attuneuniversity,,,,,,,,,,,,
Auctori,http://www.crunchbase.com/company/auctori,,,,,,,,,,,,
AudioAnywhere,http://www.crunchbase.com/company/audioanywhere,,,,,,,,,,,,
AudioBox.fm,http://www.crunchbase.com/company/audiobox-fm,,,,,,,,,,,,
